Arousal,Valence
73,53
73,53
74,53
76,53
77,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
78,53
79,53
79,53
80,53
82,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,53
83,52
83,51
83,50
83,49
83,49
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,47
83,46
83,46
83,43
83,41
83,39
83,39
83,35
83,33
83,31
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,30
83,29
83,28
83,27
83,25
83,23
83,21
83,19
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,17
83,18
83,20
83,22
83,24
83,26
83,28
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,29
83,30
83,33
83,33
83,35
83,39
83,41
83,41
83,45
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
83,46
84,46
85,44
86,44
87,43
88,41
89,39
89,37
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
89,35
91,35
92,35
93,35
93,35
94,35
94,35
94,35
94,35
94,35
94,35
94,35
94,35
94,35
94,35
94,35
93,35
92,35
91,35
90,35
89,35
89,35
88,35
87,35
86,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,35
85,36
85,38
84,40
83,42
82,44
82,46
81,46
80,48
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
79,51
80,51
81,51
83,51
85,51
87,51
87,51
89,51
93,51
93,51
95,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,51
96,49
96,48
96,46
96,44
96,42
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,40
96,39
96,38
96,36
96,34
96,32
96,30
96,28
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,27
96,26
96,25
96,24
96,23
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,22
96,21
96,20
96,20
96,18
96,17
96,17
96,15
96,15
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,14
96,15
96,16
96,17
96,18
96,19
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,20
96,21
96,22
96,23
96,24
96,24
96,25
96,26
96,27
96,28
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
95,29
94,29
93,29
91,29
90,29
90,29
89,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
88,29
87,29
86,29
85,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
84,29
85,29
86,29
87,29
88,29
89,29
90,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
91,29
92,29
92,29
93,29
95,29
95,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
96,29
95,29
94,29
92,29
90,29
88,29
86,29
84,29
82,29
80,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,29
76,28
76,27
76,26
76,22
76,22
76,20
76,18
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,15
76,16
76,17
76,17
76,19
76,21
76,23
76,25
76,27
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
76,28
